Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
41000.00,20180516_1002_25,139.81,496.22,636.03,0.0000,0.0000,0.0000,20180515_2150_28,20180516_1002_25,10,137.49,140.07,142.32,495.43,495.77,496.55,633.35,635.84,637.89
41051.25,20180516_1002_25,139.81,496.28,636.09,0.0000,0.0121,0.0094,20180515_2150_28,20180516_1002_25,10,137.34,139.88,142.14,495.43,495.78,496.60,633.20,635.66,637.71
41102.56,20180516_1002_26,139.82,496.28,636.10,0.0072,0.0060,0.0063,20180515_2150_28,20180516_1002_26,10,137.34,139.83,142.14,495.53,496.02,496.60,633.20,635.85,638.31
41153.94,20180516_1002_26,139.82,496.28,636.10,0.0048,0.0040,0.0042,20180515_2150_28,20180516_1002_26,10,137.34,139.76,141.68,495.58,496.07,496.50,633.79,635.84,637.85
41205.38,20180516_1002_26,139.82,496.18,636.00,0.0036,0.0171,0.0126,20180515_2150_29,20180516_1002_26,10,136.87,139.67,141.68,495.58,496.06,496.50,633.32,635.73,637.85
41256.89,20180516_1002_26,139.80,496.18,635.98,0.0114,0.0137,0.0132,20180515_2150_29,20180516_1002_26,10,136.87,139.63,141.68,495.58,496.15,496.50,633.32,635.79,637.90
41308.46,20180516_1002_26,139.80,496.18,635.98,0.0095,0.0114,0.0110,20180515_2150_29,20180516_1002_26,10,136.86,139.61,141.68,495.97,496.21,496.55,633.31,635.82,637.90
41360.10,20180516_1002_26,139.80,496.21,636.01,0.0082,0.0037,0.0047,20180515_2150_29,20180516_1002_26,10,136.86,139.61,141.68,496.05,496.24,496.55,633.31,635.85,637.90
41411.80,20180516_1002_26,139.82,496.21,636.03,0.0072,0.0033,0.0010,20180515_2150_29,20180516_1002_26,10,136.86,139.59,141.68,496.04,496.24,496.55,633.33,635.83,637.85
41463.56,20180516_1002_26,139.82,496.21,636.03,0.0064,0.0029,0.0009,20180515_2150_29,20180516_1002_26,10,136.87,139.58,141.68,496.04,496.24,496.55,633.34,635.82,637.85
41515.39,20180516_1002_26,139.82,496.24,636.06,0.0057,0.0034,0.0039,20180515_2150_29,20180516_1002_26,10,136.87,139.60,141.67,496.04,496.26,496.49,633.34,635.86,637.84
41567.28,20180516_1002_26,140.35,496.24,636.59,0.3828,0.0031,0.0868,20180515_2150_29,20180516_1002_26,10,136.87,139.70,141.67,496.14,496.31,496.66,633.53,636.00,637.93
41619.24,20180516_1002_26,140.35,496.24,636.59,0.3509,0.0029,0.0796,20180515_2150_29,20180516_1002_26,10,136.87,139.80,142.32,496.14,496.32,496.66,633.53,636.12,638.58
41671.26,20180516_1002_26,140.35,496.27,636.62,0.3239,0.0087,0.0782,20180515_2150_29,20180516_1002_26,10,136.87,139.80,142.32,496.14,496.31,496.66,633.53,636.11,638.58
41723.35,20180516_1002_26,140.44,496.27,636.71,0.3647,0.0081,0.0867,20180515_2150_29,20180516_1002_26,10,136.87,139.82,142.32,496.09,496.30,496.68,633.55,636.12,638.53
41775.50,20180516_1002_27,140.44,496.27,636.71,0.3404,0.0075,0.0809,20180515_2150_29,20180516_1002_27,10,136.87,139.89,142.48,496.09,496.30,496.68,633.55,636.19,638.69
41827.72,20180516_1002_27,140.44,496.25,636.69,0.3191,0.0030,0.0727,20180515_2150_29,20180516_1002_27,10,136.87,139.89,142.48,496.09,496.31,496.68,633.55,636.20,638.69
41880.00,20180516_1002_27,140.81,496.25,637.06,0.5623,0.0028,0.1265,20180515_2150_30,20180516_1002_27,10,136.87,140.04,142.48,496.13,496.32,496.67,633.54,636.35,638.69
41932.35,20180516_1002_27,140.81,496.25,637.06,0.5311,0.0027,0.1195,20180515_2150_30,20180516_1002_27,10,136.87,140.22,142.48,496.13,496.32,496.67,633.54,636.53,638.70
41984.77,20180516_1002_27,140.81,496.25,637.06,0.5031,0.0025,0.1132,20180515_2150_30,20180516_1002_27,10,136.87,140.28,143.12,496.13,496.32,496.67,633.54,636.60,639.34
42037.25,20180516_1002_27,140.81,496.25,637.06,0.4779,0.0024,0.1075,20180515_2150_30,20180516_1002_27,10,136.87,140.29,143.12,496.14,496.33,496.70,633.57,636.62,639.34
42089.80,20180516_1002_27,141.17,496.25,637.42,0.6963,0.0021,0.1559,20180515_2150_30,20180516_1002_27,10,136.91,140.51,143.12,496.14,496.32,496.70,633.61,636.83,639.33
42142.41,20180516_1002_27,141.17,496.22,637.39,0.6482,0.0036,0.1407,20180515_2150_30,20180516_1002_27,10,136.91,140.64,143.82,496.14,496.33,496.70,633.61,636.97,640.03
42195.09,20180516_1002_27,141.72,496.22,637.94,0.9861,0.0030,0.2167,20180515_2150_30,20180516_1002_27,10,136.91,140.79,143.82,496.12,496.33,496.69,633.60,637.12,640.03
42247.83,20180516_1002_27,141.72,496.22,637.94,0.9191,0.0024,0.2023,20180515_2150_30,20180516_1002_27,10,137.15,141.00,143.82,496.12,496.33,496.69,633.84,637.33,640.00
42300.64,20180516_1002_27,141.72,496.25,637.97,0.8520,0.0032,0.1918,20180515_2150_30,20180516_1002_27,10,137.15,141.08,144.57,496.12,496.33,496.69,633.84,637.41,640.75
42353.52,20180516_1002_27,141.72,496.25,637.97,0.7843,0.0025,0.1762,20180515_2150_30,20180516_1002_27,10,137.15,141.16,144.57,496.10,496.33,496.69,633.84,637.49,640.75
42406.46,20180516_1002_27,142.31,496.25,638.56,1.1282,0.0018,0.2528,20180515_2150_30,20180516_1002_27,10,137.15,141.38,144.57,496.10,496.33,496.69,633.84,637.71,640.78
42459.47,20180516_1002_27,142.31,496.25,638.56,1.0400,0.0014,0.2329,20180515_2150_30,20180516_1002_27,10,137.48,141.56,145.42,496.10,496.34,496.69,634.17,637.90,641.63
42512.54,20180516_1002_28,142.31,496.24,638.55,0.9525,0.0010,0.2115,20180515_2150_30,20180516_1002_28,10,137.48,141.62,145.42,496.10,496.33,496.70,634.18,637.95,641.63
42565.68,20180516_1002_28,143.00,496.24,639.24,1.3434,0.0013,0.2995,20180515_2150_30,20180516_1002_28,10,137.49,141.88,145.42,496.10,496.33,496.70,634.19,638.20,641.61
42618.89,20180516_1002_28,143.00,496.24,639.24,1.2322,0.0013,0.2746,20180515_2150_31,20180516_1002_28,10,137.49,142.00,146.02,496.10,496.32,496.70,634.19,638.32,642.21
42672.16,20180516_1002_28,143.00,496.22,639.22,1.1395,0.0053,0.2508,20180515_2150_31,20180516_1002_28,10,137.49,142.09,146.02,496.10,496.33,496.71,634.20,638.42,642.21
42725.50,20180516_1002_28,143.61,496.22,639.83,1.4672,0.0051,0.3253,20180515_2150_31,20180516_1002_28,10,137.50,142.34,146.02,496.10,496.33,496.71,634.21,638.67,642.23
42778.91,20180516_1002_28,143.61,496.22,639.83,1.3537,0.0046,0.3002,20180515_2150_31,20180516_1002_28,10,137.50,142.48,146.63,496.10,496.32,496.71,634.21,638.80,642.84
42832.38,20180516_1002_28,144.20,496.32,640.52,1.6474,0.0160,0.3833,20180515_2150_31,20180516_1002_28,10,137.50,142.56,146.63,496.03,496.32,496.68,634.18,638.88,642.84
42885.92,20180516_1002_28,144.20,496.32,640.52,1.5170,0.0155,0.3535,20180515_2150_31,20180516_1002_28,10,137.50,142.68,146.63,496.03,496.32,496.68,634.18,639.01,642.85
42939.53,20180516_1002_28,144.20,496.32,640.52,1.3866,0.0148,0.3236,20180515_2150_31,20180516_1002_28,10,137.61,142.85,146.63,496.03,496.33,496.68,634.29,639.17,642.85
42993.20,20180516_1002_28,144.20,496.26,640.46,1.2691,0.0020,0.2873,20180515_2150_31,20180516_1002_28,10,137.61,143.00,147.08,496.13,496.34,496.68,634.29,639.34,643.30
43046.94,20180516_1002_28,144.82,496.26,641.08,1.5747,0.0019,0.3572,20180515_2150_31,20180516_1002_28,10,137.61,143.25,147.08,496.13,496.34,496.70,634.31,639.59,643.30
43100.75,20180516_1002_28,144.82,496.26,641.08,1.4363,0.0018,0.3259,20180515_2150_31,20180516_1002_28,10,137.98,143.41,147.30,496.13,496.34,496.70,634.68,639.75,643.52
43154.63,20180516_1002_28,144.82,496.29,641.11,1.2978,0.0078,0.2992,20180515_2150_31,20180516_1002_28,10,137.98,143.53,147.30,496.04,496.32,496.70,634.68,639.85,643.52
43208.57,20180516_1002_28,145.44,496.29,641.73,1.5931,0.0074,0.3667,20180515_2150_31,20180516_1002_28,10,137.98,143.77,147.30,496.04,496.33,496.70,634.68,640.09,643.55
43262.58,20180516_1002_29,145.44,496.29,641.73,1.4463,0.0067,0.3329,20180515_2150_31,20180516_1002_29,10,138.11,143.86,147.30,496.04,496.33,496.70,634.81,640.18,643.55
43316.66,20180516_1002_29,145.44,496.27,641.71,1.3184,0.0019,0.3003,20180515_2150_31,20180516_1002_29,10,138.11,143.98,147.49,496.15,496.34,496.70,634.81,640.32,643.74
43370.81,20180516_1002_29,146.06,496.27,642.33,1.6100,0.0014,0.3672,20180515_2150_32,20180516_1002_29,10,138.11,144.11,147.49,496.16,496.35,496.69,634.80,640.46,643.74
43425.02,20180516_1002_29,146.06,496.27,642.33,1.4614,0.0012,0.3332,20180515_2150_32,20180516_1002_29,10,138.11,144.32,147.49,496.16,496.35,496.69,634.80,640.66,643.70
43479.30,20180516_1002_29,146.06,496.25,642.31,1.3128,0.0030,0.2962,20180515_2150_32,20180516_1002_29,10,138.11,144.41,147.92,496.16,496.34,496.69,634.80,640.75,644.13
43533.65,20180516_1002_29,146.68,496.25,642.93,1.6021,0.0030,0.3632,20180515_2150_32,20180516_1002_29,10,138.11,144.60,147.92,496.17,496.35,496.71,634.82,640.95,644.13
43588.07,20180516_1002_29,146.68,496.25,642.93,1.4532,0.0030,0.3292,20180515_2150_32,20180516_1002_29,10,138.11,144.71,147.92,496.17,496.36,496.71,634.82,641.07,644.17
43642.56,20180516_1002_29,146.68,496.27,642.95,1.3042,0.0009,0.2982,20180515_2150_32,20180516_1002_29,10,138.11,144.91,148.43,496.17,496.36,496.71,634.82,641.27,644.68
43697.11,20180516_1002_29,147.31,496.27,643.58,1.6014,0.0006,0.3670,20180515_2150_32,20180516_1002_29,10,138.11,145.05,148.43,496.16,496.36,496.71,634.82,641.41,644.68
43751.73,20180516_1002_29,147.31,496.27,643.58,1.4551,0.0003,0.3333,20180515_2150_32,20180516_1002_29,10,138.11,145.18,148.43,496.16,496.35,496.71,634.82,641.52,644.62
43806.42,20180516_1002_29,147.31,496.27,643.58,1.3088,0.0002,0.2994,20180515_2150_32,20180516_1002_29,10,138.11,145.32,148.54,496.13,496.34,496.71,634.82,641.66,644.73
43861.18,20180516_1002_29,147.31,496.27,643.58,1.1832,0.0007,0.2703,20180515_2150_32,20180516_1002_29,10,138.11,145.45,148.54,496.13,496.34,496.71,634.82,641.79,644.73
43916.01,20180516_1002_29,147.31,496.27,643.58,1.0576,0.0012,0.2412,20180515_2150_32,20180516_1002_29,10,138.11,145.59,148.54,496.13,496.35,496.71,634.82,641.93,644.73
43970.91,20180516_1002_29,147.31,496.24,643.55,0.9521,0.0068,0.2127,20180515_2150_32,20180516_1002_29,10,138.11,145.62,148.57,496.13,496.34,496.71,634.82,641.96,644.76
44025.87,20180516_1002_30,147.31,496.24,643.55,0.8465,0.0059,0.1892,20180515_2150_32,20180516_1002_30,10,138.11,145.69,148.57,496.12,496.35,496.71,634.82,642.04,644.76
44080.90,20180516_1002_30,147.92,496.24,644.16,1.1503,0.0051,0.2602,20180515_2150_32,20180516_1002_30,10,138.11,145.87,148.57,496.12,496.35,496.71,634.82,642.22,644.76
44136.00,20180516_1002_30,147.92,496.24,644.16,1.0245,0.0049,0.2315,20180515_2150_33,20180516_1002_30,10,138.11,146.08,149.15,496.11,496.35,496.71,634.82,642.43,645.34
44191.17,20180516_1002_30,147.92,496.21,644.13,0.9198,0.0108,0.2029,20180515_2150_33,20180516_1002_30,10,138.11,146.16,149.15,496.11,496.35,496.70,634.81,642.50,645.34
44246.41,20180516_1002_30,148.02,496.21,644.23,0.8820,0.0103,0.1947,20180515_2150_33,20180516_1002_30,10,138.11,146.29,149.15,496.11,496.34,496.70,634.81,642.63,645.36
44301.72,20180516_1002_30,148.02,496.26,644.28,0.7739,0.0006,0.1783,20180515_2150_33,20180516_1002_30,10,138.11,146.37,149.31,496.14,496.35,496.70,634.81,642.72,645.52
44357.10,20180516_1002_30,148.55,496.26,644.81,1.0411,0.0009,0.2405,20180515_2150_33,20180516_1002_30,10,138.11,146.49,149.31,496.14,496.34,496.68,634.79,642.82,645.52
44412.55,20180516_1002_30,148.55,496.26,644.81,0.9364,0.0012,0.2166,20180515_2150_33,20180516_1002_30,10,138.11,146.55,149.31,496.14,496.34,496.68,634.79,642.88,645.56
44468.07,20180516_1002_30,148.55,496.26,644.81,0.8317,0.0013,0.1926,20180515_2150_33,20180516_1002_30,10,138.11,146.77,149.78,496.14,496.34,496.68,634.79,643.10,646.03
44523.66,20180516_1002_30,148.55,496.24,644.79,0.7479,0.0026,0.1703,20180515_2150_33,20180516_1002_30,10,138.11,146.77,149.78,496.14,496.34,496.68,634.79,643.11,646.03
44579.31,20180516_1002_30,148.55,496.24,644.79,0.6641,0.0023,0.1512,20180515_2150_33,20180516_1002_30,10,138.11,146.89,149.78,496.14,496.34,496.69,634.80,643.23,646.03
44635.03,20180516_1002_30,148.55,496.24,644.79,0.5803,0.0022,0.1320,20180515_2150_33,20180516_1002_30,10,138.11,146.98,149.78,496.14,496.33,496.69,634.80,643.31,646.00
44690.82,20180516_1002_30,148.55,496.23,644.78,0.5173,0.0041,0.1160,20180515_2150_33,20180516_1002_30,10,138.11,147.07,149.80,496.09,496.33,496.69,634.80,643.40,646.02
44746.68,20180516_1002_30,148.61,496.23,644.84,0.4946,0.0039,0.1110,20180515_2150_33,20180516_1002_30,10,138.11,147.13,149.80,496.09,496.32,496.69,634.80,643.45,646.02
44802.61,20180516_1002_31,148.61,496.23,644.84,0.4297,0.0035,0.0963,20180515_2150_33,20180516_1002_31,10,138.11,147.23,149.80,496.09,496.32,496.69,634.80,643.55,646.02
44858.61,20180516_1002_31,148.61,496.20,644.81,0.3859,0.0092,0.0819,20180515_2150_33,20180516_1002_31,10,138.11,147.27,149.80,496.13,496.32,496.69,634.80,643.59,646.02
44914.68,20180516_1002_31,149.10,496.20,645.30,0.6697,0.0085,0.1482,20180515_2150_34,20180516_1002_31,10,138.11,147.36,149.80,496.13,496.33,496.69,634.80,643.69,646.02
44970.82,20180516_1002_31,149.10,496.20,645.30,0.6097,0.0078,0.1349,20180515_2150_34,20180516_1002_31,10,138.11,147.43,149.80,496.13,496.33,496.69,634.80,643.76,646.03
45027.03,20180516_1002_31,149.10,496.26,645.36,0.5496,0.0050,0.1309,20180515_2150_34,20180516_1002_31,10,138.11,147.46,149.80,496.13,496.35,496.69,634.80,643.80,646.03
45083.31,20180516_1002_31,149.18,496.26,645.44,0.5430,0.0051,0.1294,20180515_2150_34,20180516_1002_31,10,138.11,147.51,149.80,496.13,496.36,496.85,634.96,643.87,646.03
45139.66,20180516_1002_31,149.18,496.26,645.44,0.4803,0.0049,0.1148,20180515_2150_34,20180516_1002_31,10,138.11,147.57,149.80,496.13,496.36,496.85,634.96,643.93,646.03
45196.08,20180516_1002_31,149.18,496.26,645.44,0.4176,0.0047,0.1002,20180515_2150_34,20180516_1002_31,10,138.11,147.70,150.18,496.13,496.35,496.84,634.95,644.05,646.41
45252.58,20180516_1002_31,149.18,496.24,645.42,0.3754,0.0005,0.0872,20180515_2150_34,20180516_1002_31,10,138.11,147.70,150.18,496.13,496.35,496.84,634.95,644.04,646.41
45309.15,20180516_1002_31,149.42,496.24,645.66,0.4932,0.0005,0.1145,20180515_2150_34,20180516_1002_31,10,138.11,147.82,150.18,496.13,496.34,496.84,634.95,644.16,646.37
45365.79,20180516_1002_31,149.42,496.24,645.66,0.4430,0.0002,0.1027,20180515_2150_34,20180516_1002_31,10,138.11,147.86,150.41,496.04,496.33,496.86,634.97,644.19,646.60
45422.50,20180516_1002_31,149.42,496.23,645.65,0.3962,0.0021,0.0901,20180515_2150_34,20180516_1002_31,10,138.11,147.86,150.41,496.04,496.33,496.86,634.97,644.19,646.60
45479.28,20180516_1002_31,149.78,496.23,646.01,0.5889,0.0018,0.1351,20180515_2150_34,20180516_1002_31,10,138.11,147.92,150.41,496.04,496.33,496.86,634.97,644.25,646.66
45536.13,20180516_1002_31,149.78,496.23,646.01,0.5478,0.0015,0.1258,20180515_2150_34,20180516_1002_31,10,138.11,147.96,150.43,496.04,496.34,496.86,634.97,644.30,646.68
45593.05,20180516_1002_32,149.78,496.26,646.04,0.5067,0.0048,0.1212,20180515_2150_34,20180516_1002_32,10,138.11,147.96,150.43,496.06,496.34,496.86,634.97,644.30,646.68
45650.04,20180516_1002_32,149.79,496.26,646.05,0.4723,0.0048,0.1132,20180515_2150_34,20180516_1002_32,10,138.11,148.03,150.43,496.06,496.34,496.86,634.97,644.37,646.68
45707.10,20180516_1002_32,149.79,496.26,646.05,0.4309,0.0046,0.1035,20180515_2150_35,20180516_1002_32,10,138.11,148.12,150.76,496.06,496.34,496.86,634.97,644.45,647.01
45764.23,20180516_1002_32,149.79,496.24,646.03,0.3895,0.0004,0.0906,20180515_2150_35,20180516_1002_32,10,138.11,148.12,150.76,496.07,496.35,496.84,634.95,644.47,647.01
45821.44,20180516_1002_32,149.79,496.24,646.03,0.3482,0.0004,0.0810,20180515_2150_35,20180516_1002_32,10,138.11,148.26,150.76,496.07,496.33,496.84,634.95,644.60,646.95
45878.72,20180516_1002_32,149.79,496.24,646.03,0.3068,0.0003,0.0714,20180515_2150_35,20180516_1002_32,10,138.11,148.31,151.04,496.15,496.33,496.84,634.95,644.64,647.23
45936.07,20180516_1002_32,149.79,496.25,646.04,0.2674,0.0022,0.0637,20180515_2150_35,20180516_1002_32,10,138.11,148.36,151.04,496.15,496.32,496.83,634.94,644.68,647.23
45993.49,20180516_1002_32,149.79,496.25,646.04,0.2280,0.0020,0.0544,20180515_2150_35,20180516_1002_32,10,138.11,148.37,151.04,496.15,496.34,496.83,634.94,644.70,647.30
46050.98,20180516_1002_32,149.79,496.25,646.04,0.1886,0.0015,0.0449,20180515_2150_35,20180516_1002_32,10,138.11,148.41,151.06,496.13,496.33,496.83,634.94,644.74,647.32
46108.54,20180516_1002_32,149.79,496.26,646.05,0.1656,0.0030,0.0407,20180515_2150_35,20180516_1002_32,10,138.11,148.44,151.06,496.13,496.34,496.85,634.96,644.78,647.32
46166.18,20180516_1002_32,149.83,496.26,646.09,0.1692,0.0024,0.0411,20180515_2150_35,20180516_1002_32,10,138.11,148.50,151.06,496.13,496.34,496.85,634.96,644.84,647.28
46223.89,20180516_1002_32,149.83,496.26,646.09,0.1448,0.0024,0.0354,20180515_2150_35,20180516_1002_32,10,138.11,148.54,151.33,496.13,496.35,496.85,634.96,644.88,647.55
46281.67,20180516_1002_32,149.83,496.24,646.07,0.1231,0.0016,0.0273,20180515_2150_35,20180516_1002_32,10,138.11,148.55,151.33,496.13,496.33,496.68,634.79,644.88,647.55
46339.52,20180516_1002_32,150.36,496.24,646.60,0.4536,0.0014,0.1044,20180515_2150_35,20180516_1002_32,10,138.11,148.62,151.33,496.13,496.33,496.68,634.79,644.95,647.52
46397.44,20180516_1002_33,150.36,496.24,646.60,0.4143,0.0012,0.0954,20180515_2150_35,20180516_1002_33,10,138.11,148.65,151.66,496.13,496.33,496.68,634.79,644.98,647.85
46455.44,20180516_1002_33,150.36,496.23,646.59,0.3751,0.0032,0.0848,20180515_2150_35,20180516_1002_33,10,138.11,148.67,151.66,496.12,496.33,496.68,634.79,645.01,647.85
46513.51,20180516_1002_33,150.41,496.23,646.64,0.3770,0.0031,0.0853,20180515_2150_36,20180516_1002_33,10,138.11,148.78,151.66,496.12,496.33,496.68,634.79,645.11,647.87
46571.65,20180516_1002_33,150.41,496.23,646.64,0.3441,0.0030,0.0777,20180515_2150_36,20180516_1002_33,10,138.11,148.80,151.67,496.12,496.32,496.68,634.79,645.12,647.88
46629.86,20180516_1002_33,150.41,496.23,646.64,0.3112,0.0030,0.0701,20180515_2150_36,20180516_1002_33,10,138.11,148.84,151.67,496.08,496.32,496.68,634.79,645.16,647.88
46688.15,20180516_1002_33,150.41,496.28,646.69,0.2902,0.0071,0.0729,20180515_2150_36,20180516_1002_33,10,138.11,148.95,151.67,496.08,496.34,496.66,634.77,645.28,647.90
46746.51,20180516_1002_33,150.44,496.28,646.72,0.2892,0.0065,0.0723,20180515_2150_36,20180516_1002_33,10,138.12,148.95,151.67,496.08,496.34,496.66,634.78,645.29,647.90
46804.94,20180516_1002_33,150.44,496.28,646.72,0.2672,0.0063,0.0670,20180515_2150_36,20180516_1002_33,10,138.12,148.99,151.68,496.09,496.33,496.66,634.78,645.32,647.91
46863.45,20180516_1002_33,150.44,496.24,646.68,0.2456,0.0019,0.0557,20180515_2150_36,20180516_1002_33,10,138.12,149.04,151.68,496.09,496.33,496.67,634.79,645.37,647.91
46922.03,20180516_1002_33,150.92,496.24,647.16,0.5413,0.0017,0.1249,20180515_2150_36,20180516_1002_33,10,138.12,149.09,151.68,496.09,496.32,496.67,634.79,645.41,647.91
46980.68,20180516_1002_33,150.92,496.24,647.16,0.5039,0.0017,0.1162,20180515_2150_36,20180516_1002_33,10,138.12,149.14,151.68,496.16,496.33,496.67,634.79,645.47,647.91
47039.41,20180516_1002_33,150.92,496.28,647.20,0.4665,0.0063,0.1136,20180515_2150_36,20180516_1002_33,10,138.12,149.18,151.68,496.16,496.34,496.67,634.79,645.51,647.94
47098.21,20180516_1002_33,151.06,496.28,647.34,0.5213,0.0059,0.1262,20180515_2150_36,20180516_1002_33,10,138.14,149.21,151.79,496.16,496.35,496.67,634.81,645.56,648.05
47157.08,20180516_1002_33,151.06,496.28,647.34,0.4793,0.0056,0.1162,20180515_2150_36,20180516_1002_33,10,138.14,149.25,151.79,496.13,496.35,496.67,634.81,645.60,648.05
47216.03,20180516_1002_33,151.06,496.28,647.34,0.4372,0.0053,0.1061,20180515_2150_36,20180516_1002_33,10,138.14,149.27,151.79,496.13,496.35,496.66,634.80,645.62,648.05
47275.05,20180516_1002_34,151.06,496.18,647.24,0.3952,0.0151,0.0806,20180515_2150_36,20180516_1002_34,10,138.38,149.29,151.79,496.13,496.33,496.66,635.04,645.62,648.01
47334.14,20180516_1002_34,151.04,496.18,647.22,0.3400,0.0143,0.0684,20180515_2150_37,20180516_1002_34,10,138.38,149.37,152.21,496.13,496.33,496.66,635.04,645.69,648.43
47393.31,20180516_1002_34,151.04,496.18,647.22,0.2999,0.0135,0.0596,20180515_2150_37,20180516_1002_34,10,138.38,149.44,152.21,496.05,496.32,496.65,635.03,645.76,648.43
47452.55,20180516_1002_34,151.04,496.26,647.30,0.2599,0.0034,0.0633,20180515_2150_37,20180516_1002_34,10,138.61,149.47,152.21,496.05,496.32,496.65,635.26,645.79,648.40
47511.87,20180516_1002_34,151.40,496.26,647.66,0.4571,0.0032,0.1093,20180515_2150_37,20180516_1002_34,10,138.61,149.56,152.29,496.05,496.33,496.65,635.26,645.88,648.48
47571.26,20180516_1002_34,151.40,496.26,647.66,0.4227,0.0030,0.1011,20180515_2150_37,20180516_1002_34,10,138.61,149.56,152.29,496.12,496.33,496.66,635.27,645.89,648.48
47630.72,20180516_1002_34,151.40,496.21,647.61,0.3884,0.0073,0.0852,20180515_2150_37,20180516_1002_34,10,138.73,149.65,152.29,496.12,496.31,496.66,635.39,645.96,648.47
47690.26,20180516_1002_34,151.66,496.21,647.87,0.5249,0.0071,0.1175,20180515_2150_37,20180516_1002_34,10,138.73,149.72,152.28,496.12,496.31,496.66,635.39,646.03,648.46
47749.87,20180516_1002_34,151.66,496.21,647.87,0.4837,0.0069,0.1080,20180515_2150_37,20180516_1002_34,10,138.73,149.72,152.28,496.12,496.30,496.66,635.39,646.02,648.46
47809.56,20180516_1002_34,151.66,496.24,647.90,0.4424,0.0006,0.1031,20180515_2150_37,20180516_1002_34,10,138.73,149.76,152.28,496.12,496.31,496.66,635.39,646.07,648.50
47869.32,20180516_1002_34,151.67,496.24,647.91,0.4078,0.0007,0.0949,20180515_2150_37,20180516_1002_34,10,138.74,149.77,152.28,496.12,496.31,496.66,635.40,646.08,648.50
47929.16,20180516_1002_34,151.67,496.24,647.91,0.3663,0.0003,0.0855,20180515_2150_37,20180516_1002_34,10,138.74,149.77,152.30,496.13,496.33,496.66,635.40,646.10,648.52
47989.07,20180516_1002_34,151.67,496.26,647.93,0.3257,0.0041,0.0794,20180515_2150_37,20180516_1002_34,10,138.74,149.87,152.30,496.13,496.34,496.65,635.39,646.21,648.52
48049.06,20180516_1002_34,151.67,496.26,647.93,0.2852,0.0043,0.0701,20180515_2150_37,20180516_1002_34,10,139.24,149.93,152.30,496.13,496.34,496.65,635.89,646.26,648.49
48109.12,20180516_1002_35,151.67,496.26,647.93,0.2446,0.0041,0.0604,20180515_2150_37,20180516_1002_35,10,139.24,150.00,152.39,496.12,496.33,496.65,635.89,646.33,648.58
48169.26,20180516_1002_35,151.67,496.23,647.90,0.2199,0.0021,0.0499,20180515_2150_38,20180516_1002_35,10,139.24,150.08,152.39,496.12,496.31,496.64,635.88,646.38,648.58
48229.47,20180516_1002_35,151.66,496.23,647.89,0.1886,0.0020,0.0426,20180515_2150_38,20180516_1002_35,10,139.36,150.18,152.81,496.12,496.31,496.64,636.00,646.48,649.00
48289.76,20180516_1002_35,151.66,496.23,647.89,0.1642,0.0015,0.0373,20180515_2150_38,20180516_1002_35,10,139.36,150.20,152.81,496.05,496.31,496.64,636.00,646.50,649.00
48350.12,20180516_1002_35,151.66,496.20,647.86,0.1444,0.0070,0.0284,20180515_2150_38,20180516_1002_35,10,139.36,150.20,152.81,496.05,496.30,496.63,635.99,646.51,649.00
48410.56,20180516_1002_35,151.68,496.20,647.88,0.1378,0.0062,0.0275,20180515_2150_38,20180516_1002_35,10,139.36,150.25,152.81,496.05,496.30,496.63,635.99,646.54,649.03
48471.07,20180516_1002_35,151.68,496.20,647.88,0.1173,0.0054,0.0233,20180515_2150_38,20180516_1002_35,10,139.48,150.27,152.92,496.06,496.30,496.63,636.11,646.57,649.14
48531.66,20180516_1002_35,151.68,496.24,647.92,0.0969,0.0024,0.0245,20180515_2150_38,20180516_1002_35,10,139.48,150.29,152.92,496.06,496.30,496.63,636.11,646.60,649.14
48592.32,20180516_1002_35,151.68,496.24,647.92,0.0758,0.0018,0.0191,20180515_2150_38,20180516_1002_35,10,139.48,150.30,152.92,496.06,496.32,496.64,636.12,646.61,649.11
48653.06,20180516_1002_35,151.95,496.24,648.19,0.2323,0.0012,0.0554,20180515_2150_38,20180516_1002_35,10,139.98,150.38,152.91,496.12,496.32,496.64,636.62,646.70,649.10
48713.88,20180516_1002_35,151.95,496.24,648.19,0.2024,0.0014,0.0485,20180515_2150_38,20180516_1002_35,10,139.98,150.42,152.91,496.12,496.32,496.64,636.62,646.74,649.11
48774.77,20180516_1002_35,151.95,496.25,648.20,0.1843,0.0036,0.0460,20180515_2150_38,20180516_1002_35,10,139.98,150.42,152.91,496.12,496.32,496.62,636.60,646.74,649.16
48835.74,20180516_1002_35,152.29,496.25,648.54,0.3891,0.0037,0.0942,20180515_2150_38,20180516_1002_35,10,140.56,150.55,153.01,496.12,496.32,496.62,637.18,646.87,649.26
48896.78,20180516_1002_35,152.29,496.25,648.54,0.3598,0.0033,0.0870,20180515_2150_38,20180516_1002_35,10,140.56,150.61,153.01,496.12,496.32,496.62,637.18,646.93,649.26
