Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180502_0819_47,41000,0,0,144.02,534.85,678.87,0,0,0,0,0
20180502_0819_47,41051.25,0,0,144.19,534.85,679.04,0,0,0,0,0
20180502_0819_47,41102.56,0,0,144.19,534.85,679.04,0,0,0,0,0
20180502_0819_47,41153.94,0,0,144.19,534.84,679.03,0,0,0,0,0
20180502_0819_47,41205.38,0,0,144.1,534.84,678.94,0,0,0,0,0
20180502_0819_47,41256.89,0,0,144.1,534.84,678.94,0,0,0,0,0
20180502_0819_47,41308.46,0,0,144.1,534.84,678.94,0,0,0,0,0
20180502_0819_48,41360.1,0,0,144,534.84,678.84,0,0,0,0,0
20180502_0819_48,41411.8,0,0,144,534.84,678.84,0,0,0,0,0
20180502_0819_48,41463.56,0,0,144,534.84,678.84,0,0,0,0,0
20180502_0819_48,41515.39,0,0,143.99,534.84,678.83,0,0,0,0,0
20180502_0819_48,41567.28,0,0,143.99,534.84,678.83,0,0,0,0,0
20180502_0819_48,41619.24,0,0,143.99,534.84,678.83,0,0,0,0,0
20180502_0819_48,41671.26,0,0,143.99,534.84,678.83,0,0,0,0,0
20180502_0819_48,41723.35,0,0,143.99,534.84,678.83,0,0,0,0,0
20180502_0819_48,41775.5,0,0,143.99,534.84,678.83,0,0,0,0,0
20180502_0819_48,41827.72,0,0,143.87,534.84,678.71,0,0,0,0,0
20180502_0819_48,41880,0,0,143.87,534.84,678.71,0,0,0,0,0
20180502_0819_48,41932.35,0,0,143.87,534.81,678.68,0,0,0,0,0
20180502_0819_48,41984.77,0,0,143.6,534.81,678.41,0,0,0,0,0
20180502_0819_49,42037.25,0,0,143.6,534.83,678.43,0,0,0,0,0
20180502_0819_49,42089.8,0,0,143.6,534.83,678.43,0,0,0,0,0
20180502_0819_49,42142.41,0,0,143.4,534.83,678.23,0,0,0,0,0
20180502_0819_49,42195.09,0,0,143.4,534.83,678.23,0,0,0,0,0
20180502_0819_49,42247.83,0,0,143.4,534.84,678.24,0,0,0,0,0
20180502_0819_49,42300.64,0,0,143.37,534.84,678.21,0,0,0,0,0
20180502_0819_49,42353.52,0,0,143.37,534.84,678.21,0,0,0,0,0
20180502_0819_49,42406.46,0,0,143.37,534.84,678.21,0,0,0,0,0
20180502_0819_49,42459.47,0,0,143.37,534.84,678.21,0,0,0,0,0
20180502_0819_49,42512.54,0,0,143.37,534.81,678.18,0,0,0,0,0
20180502_0819_49,42565.68,0,0,143.36,534.81,678.17,0,0,0,0,0
20180502_0819_49,42618.89,0,0,143.36,534.81,678.17,0,0,0,0,0
20180502_0819_49,42672.16,0,0,143.36,534.8,678.16,0,0,0,0,0
20180502_0819_50,42725.5,0,0,143.35,534.8,678.15,0,0,0,0,0
20180502_0819_50,42778.91,0,0,143.35,534.8,678.15,0,0,0,0,0
20180502_0819_50,42832.38,0,0,143.35,534.81,678.16,0,0,0,0,0
20180502_0819_50,42885.92,0,0,142.94,534.81,677.75,0,0,0,0,0
20180502_0819_50,42939.53,0,0,142.94,534.81,677.75,0,0,0,0,0
20180502_0819_50,42993.2,0,0,142.94,534.86,677.8,0,0,0,0,0
20180502_0819_50,43046.94,0,0,142.75,534.86,677.61,0,0,0,0,0
20180502_0819_50,43100.75,0,0,142.75,534.86,677.61,0,0,0,0,0
20180502_0819_50,43154.63,0,0,142.75,534.83,677.58,0,0,0,0,0
20180502_0819_50,43208.57,0,0,142.74,534.83,677.57,0,0,0,0,0
20180502_0819_50,43262.58,0,0,142.74,534.83,677.57,0,0,0,0,0
20180502_0819_50,43316.66,0,0,142.74,534.85,677.59,0,0,0,0,0
20180502_0819_50,43370.81,0,0,142.46,534.85,677.31,0,0,0,0,0
20180502_0819_50,43425.02,0,0,142.46,534.85,677.31,0,0,0,0,0
20180502_0819_51,43479.3,0,0,142.46,534.82,677.28,0,0,0,0,0
20180502_0819_51,43533.65,0,0,142.15,534.82,676.97,0,0,0,0,0
20180502_0819_51,43588.07,0,0,142.15,534.82,676.97,0,0,0,0,0
20180502_0819_51,43642.56,0,0,142.15,534.88,677.03,0,0,0,0,0
20180502_0819_51,43697.11,0,0,142.15,534.88,677.03,0,0,0,0,0
20180502_0819_51,43751.73,0,0,142.13,534.88,677.01,0,0,0,0,0
20180502_0819_51,43806.42,0,0,142.13,534.88,677.01,0,0,0,0,0
20180502_0819_51,43861.18,0,0,142.13,534.89,677.02,0,0,0,0,0
20180502_0819_51,43916.01,0,0,142.11,534.89,677,0,0,0,0,0
20180502_0819_51,43970.91,0,0,142.11,534.89,677,0,0,0,0,0
20180502_0819_51,44025.87,0,0,142.11,534.94,677.05,0,0,0,0,0
20180502_0819_51,44080.9,0,0,142.08,534.94,677.02,0,0,0,0,0
20180502_0819_51,44136,0,0,142.08,535,677.08,0,0,0,0,0
20180502_0819_52,44191.17,0,0,141.52,535,676.52,0,0,0,0,0
20180502_0819_52,44246.41,0,0,141.52,535,676.52,0,0,0,0,0
20180502_0819_52,44301.72,0,0,141.52,535,676.52,0,0,0,0,0
20180502_0819_52,44357.1,0,0,141.52,535.11,676.63,0,0,0,0,0
20180502_0819_52,44412.55,0,0,141.49,535.11,676.6,0,0,0,0,0
20180502_0819_52,44468.07,0,0,141.49,535.11,676.6,0,0,0,0,0
20180502_0819_52,44523.66,0,0,141.49,535.15,676.64,0,0,0,0,0
20180502_0819_52,44579.31,0,0,141.48,535.15,676.63,0,0,0,0,0
20180502_0819_52,44635.03,0,0,141.48,535.13,676.61,0,0,0,0,0
20180502_0819_52,44690.82,0,0,140.89,535.13,676.02,0,0,0,0,0
20180502_0819_52,44746.68,0,0,140.89,535.13,676.02,0,0,0,0,0
20180502_0819_52,44802.61,0,0,140.89,535.09,675.98,0,0,0,0,0
20180502_0819_52,44858.61,0,0,140.89,535.09,675.98,0,0,0,0,0
20180502_0819_52,44914.68,0,0,140.84,535.09,675.93,0,0,0,0,0
20180502_0819_53,44970.82,0,0,140.84,535.09,675.93,0,0,0,0,0
20180502_0819_53,45027.03,0,0,140.84,535.03,675.87,0,0,0,0,0
20180502_0819_53,45083.31,0,0,140.25,535.03,675.28,0,0,0,0,0
20180502_0819_53,45139.66,0,0,140.25,535.04,675.29,0,0,0,0,0
20180502_0819_53,45196.08,0,0,140.25,535.04,675.29,0,0,0,0,0
20180502_0819_53,45252.58,0,0,140.18,535.04,675.22,0,0,0,0,0
20180502_0819_53,45309.15,0,0,140.18,535.04,675.22,0,0,0,0,0
20180502_0819_53,45365.79,0,0,140.18,535.01,675.19,0,0,0,0,0
20180502_0819_53,45422.5,0,0,139.63,535.01,674.64,0,0,0,0,0
20180502_0819_53,45479.28,0,0,139.63,535.01,674.64,0,0,0,0,0
20180502_0819_53,45536.13,0,0,139.63,535.06,674.69,0,0,0,0,0
20180502_0819_53,45593.05,0,0,139.62,535.06,674.68,0,0,0,0,0
20180502_0819_53,45650.04,0,0,139.62,535.06,674.68,0,0,0,0,0
20180502_0819_53,45707.1,0,0,139.62,535.09,674.71,0,0,0,0,0
20180502_0819_54,45764.23,0,0,139.62,535.09,674.71,0,0,0,0,0
20180502_0819_54,45821.44,0,0,139.62,535.17,674.79,0,0,0,0,0
20180502_0819_54,45878.72,0,0,139.62,535.17,674.79,0,0,0,0,0
20180502_0819_54,45936.07,0,0,139.62,535.17,674.79,0,0,0,0,0
20180502_0819_54,45993.49,0,0,139.62,535.17,674.79,0,0,0,0,0
20180502_0819_54,46050.98,0,0,139.56,535.25,674.81,0,0,0,0,0
20180502_0819_54,46108.54,0,0,139.56,535.25,674.81,0,0,0,0,0
20180502_0819_54,46166.18,0,0,139.56,535.29,674.85,0,0,0,0,0
20180502_0819_54,46223.89,0,0,139.15,535.29,674.44,0,0,0,0,0
20180502_0819_54,46281.67,0,0,139.15,535.29,674.44,0,0,0,0,0
20180502_0819_54,46339.52,0,0,139.15,535.32,674.47,0,0,0,0,0
20180502_0819_54,46397.44,0,0,139.15,535.32,674.47,0,0,0,0,0
20180502_0819_54,46455.44,0,0,139.01,535.32,674.33,0,0,0,0,0
20180502_0819_55,46513.51,0,0,139.01,535.32,674.33,0,0,0,0,0
20180502_0819_55,46571.65,0,0,139.01,535.36,674.37,0,0,0,0,0
20180502_0819_55,46629.86,0,0,139.01,535.36,674.37,0,0,0,0,0
20180502_0819_55,46688.15,0,0,139.01,535.4,674.41,0,0,0,0,0
20180502_0819_55,46746.51,0,0,139.01,535.4,674.41,0,0,0,0,0
20180502_0819_55,46804.94,0,0,139,535.4,674.4,0,0,0,0,0
20180502_0819_55,46863.45,0,0,139,535.4,674.4,0,0,0,0,0
20180502_0819_55,46922.03,0,0,139,535.39,674.39,0,0,0,0,0
20180502_0819_55,46980.68,0,0,138.93,535.39,674.32,0,0,0,0,0
20180502_0819_55,47039.41,0,0,138.93,535.39,674.32,0,0,0,0,0
20180502_0819_55,47098.21,0,0,138.93,535.44,674.37,0,0,0,0,0
20180502_0819_55,47157.08,0,0,138.56,535.44,674,0,0,0,0,0
20180502_0819_55,47216.03,0,0,138.56,535.41,673.97,0,0,0,0,0
20180502_0819_56,47275.05,0,0,138.56,535.41,673.97,0,0,0,0,0
20180502_0819_56,47334.14,0,0,138.38,535.41,673.79,0,0,0,0,0
20180502_0819_56,47393.31,0,0,138.38,535.44,673.82,0,0,0,0,0
20180502_0819_56,47452.55,0,0,138.38,535.44,673.82,0,0,0,0,0
20180502_0819_56,47511.87,0,0,138.38,535.44,673.82,0,0,0,0,0
20180502_0819_56,47571.26,0,0,138.38,535.44,673.82,0,0,0,0,0
20180502_0819_56,47630.72,0,0,138.38,535.44,673.82,0,0,0,0,0
20180502_0819_56,47690.26,0,0,138.38,535.44,673.82,0,0,0,0,0
20180502_0819_56,47749.87,0,0,138.38,535.44,673.82,0,0,0,0,0
20180502_0819_56,47809.56,0,0,138.37,535.44,673.81,0,0,0,0,0
20180502_0819_56,47869.32,0,0,138.37,535.44,673.81,0,0,0,0,0
20180502_0819_56,47929.16,0,0,138.37,535.45,673.82,0,0,0,0,0
20180502_0819_56,47989.07,0,0,138.37,535.45,673.82,0,0,0,0,0
20180502_0819_56,48049.06,0,0,138.3,535.45,673.75,0,0,0,0,0
20180502_0819_57,48109.12,0,0,138.3,535.45,673.75,0,0,0,0,0
20180502_0819_57,48169.26,0,0,138.3,535.46,673.76,0,0,0,0,0
20180502_0819_57,48229.47,0,0,137.89,535.46,673.35,0,0,0,0,0
20180502_0819_57,48289.76,0,0,137.89,535.46,673.35,0,0,0,0,0
20180502_0819_57,48350.12,0,0,137.89,535.44,673.33,0,0,0,0,0
20180502_0819_57,48410.56,0,0,137.75,535.44,673.19,0,0,0,0,0
20180502_0819_57,48471.07,0,0,137.75,535.44,673.19,0,0,0,0,0
20180502_0819_57,48531.66,0,0,137.75,535.42,673.17,0,0,0,0,0
20180502_0819_57,48592.32,0,0,137.75,535.42,673.17,0,0,0,0,0
20180502_0819_57,48653.06,0,0,137.75,535.42,673.17,0,0,0,0,0
20180502_0819_57,48713.88,0,0,137.75,535.44,673.19,0,0,0,0,0
20180502_0819_57,48774.77,0,0,137.61,535.44,673.05,0,0,0,0,0
20180502_0819_57,48835.74,0,0,137.61,535.44,673.05,0,0,0,0,0
20180502_0819_57,48896.78,0,0,137.61,535.47,673.08,0,0,0,0,0
20180502_0819_58,48957.9,0,0,137.16,535.47,672.63,0,0,0,0,0
20180502_0819_58,49019.1,0,0,137.16,535.47,672.63,0,0,0,0,0
20180502_0819_58,49080.37,0,0,137.13,535.45,672.58,0,0,0,0,0
20180502_0819_58,49141.72,0,0,137.13,535.45,672.58,0,0,0,0,0
20180502_0819_58,49203.15,0,0,137.13,535.45,672.58,0,0,0,0,0
20180502_0819_58,49264.65,0,0,137.13,535.45,672.58,0,0,0,0,0
20180502_0819_58,49326.23,0,0,137.11,535.45,672.56,0,0,0,0,0
20180502_0819_58,49387.89,0,0,137.11,535.45,672.56,0,0,0,0,0
20180502_0819_58,49449.62,0,0,137.11,535.45,672.56,0,0,0,0,0
20180502_0819_58,49511.43,0,0,136.53,535.45,671.98,0,0,0,0,0
20180502_0819_58,49573.32,0,0,136.53,535.45,671.98,0,0,0,0,0
20180502_0819_58,49635.29,0,0,136.53,535.45,671.98,0,0,0,0,0
20180502_0819_58,49697.33,0,0,136.51,535.45,671.96,0,0,0,0,0
20180502_0819_59,49759.45,0,0,136.51,535.45,671.96,0,0,0,0,0
20180502_0819_59,49821.65,0,0,136.51,535.45,671.96,0,0,0,0,0
20180502_0819_59,49883.93,0,0,135.92,535.45,671.37,0,0,0,0,0
20180502_0819_59,49946.28,0,0,135.92,535.45,671.37,0,0,0,0,0
20180502_0819_59,50008.71,0,0,135.92,535.45,671.37,0,0,0,0,0
20180502_0819_59,50071.22,0,0,135.88,535.45,671.33,0,0,0,0,0
20180502_0819_59,50133.81,0,0,135.88,535.45,671.33,0,0,0,0,0
20180502_0819_59,50196.48,0,0,135.88,535.46,671.34,0,0,0,0,0
20180502_0819_59,50259.23,0,0,135.81,535.46,671.27,0,0,0,0,0
20180502_0819_59,50322.05,0,0,135.81,535.46,671.27,0,0,0,0,0
20180502_0819_59,50384.95,0,0,135.81,535.5,671.31,0,0,0,0,0
20180502_0819_59,50447.93,0,0,135.46,535.5,670.96,0,0,0,0,0
20180502_0819_59,50510.99,0,0,135.46,535.5,670.96,0,0,0,0,0
20180502_0819_59,50574.13,0,0,135.46,535.45,670.91,0,0,0,0,0
20180502_0820_00,50637.35,0,0,135.27,535.45,670.72,0,0,0,0,0
20180502_0820_00,50700.65,0,0,135.27,535.45,670.72,0,0,0,0,0
20180502_0820_00,50764.03,0,0,135.27,535.5,670.77,0,0,0,0,0
20180502_0820_00,50827.49,0,0,135.27,535.5,670.77,0,0,0,0,0
20180502_0820_00,50891.02,0,0,135.27,535.5,670.77,0,0,0,0,0
20180502_0820_00,50954.63,0,0,135.27,535.51,670.78,0,0,0,0,0
20180502_0820_00,51018.32,0,0,135.27,535.51,670.78,0,0,0,0,0
20180502_0820_00,51082.09,0,0,135.27,535.51,670.78,0,0,0,0,0
20180502_0820_00,51145.94,0,0,135.27,535.52,670.79,0,0,0,0,0
20180502_0820_00,51209.87,0,0,135.14,535.52,670.66,0,0,0,0,0
20180502_0820_00,51273.88,0,0,135.14,535.52,670.66,0,0,0,0,0
20180502_0820_00,51337.97,0,0,135.14,535.52,670.66,0,0,0,0,0
20180502_0820_00,51402.14,0,0,134.77,535.52,670.29,0,0,0,0,0
20180502_0820_00,51466.39,0,0,134.77,535.52,670.29,0,0,0,0,0
20180502_0820_01,51530.72,0,0,134.77,535.52,670.29,0,0,0,0,0
20180502_0820_01,51595.13,0,0,134.77,535.57,670.34,0,0,0,0,0
20180502_0820_01,51659.62,0,0,134.64,535.57,670.21,0,0,0,0,0
20180502_0820_01,51724.19,0,0,134.64,535.57,670.21,0,0,0,0,0
20180502_0820_01,51788.85,0,0,134.64,535.6,670.24,0,0,0,0,0
20180502_0820_01,51853.59,0,0,134.64,535.6,670.24,0,0,0,0,0
20180502_0820_01,51918.41,0,0,134.64,535.6,670.24,0,0,0,0,0
20180502_0820_01,51983.31,0,0,134.64,535.61,670.25,0,0,0,0,0
20180502_0820_01,52048.29,0,0,134.14,535.61,669.75,0,0,0,0,0
20180502_0820_01,52113.35,0,0,134.14,535.61,669.75,0,0,0,0,0
20180502_0820_01,52178.49,0,0,134.03,535.69,669.72,0,0,0,0,0
20180502_0820_01,52243.71,0,0,134.03,535.69,669.72,0,0,0,0,0
20180502_0820_01,52309.01,0,0,134.03,535.71,669.74,0,0,0,0,0
20180502_0820_02,52374.4,0,0,133.86,535.71,669.57,0,0,0,0,0
20180502_0820_02,52439.87,0,0,133.86,535.71,669.57,0,0,0,0,0
20180502_0820_02,52505.42,0,0,133.86,535.72,669.58,0,0,0,0,0
20180502_0820_02,52571.05,0,0,133.4,535.72,669.12,0,0,0,0,0
20180502_0820_02,52636.76,0,0,133.4,535.72,669.12,0,0,0,0,0
20180502_0820_02,52702.56,0,0,133.4,535.67,669.07,0,0,0,0,0
20180502_0820_02,52768.44,0,0,133.39,535.67,669.06,0,0,0,0,0
20180502_0820_02,52834.4,0,0,133.39,535.67,669.06,0,0,0,0,0
20180502_0820_02,52900.44,0,0,133.39,535.74,669.13,0,0,0,0,0
20180502_0820_02,52966.57,0,0,132.87,535.74,668.61,0,0,0,0,0
20180502_0820_02,53032.78,0,0,132.87,535.74,668.61,0,0,0,0,0
20180502_0820_02,53099.07,0,0,132.87,535.81,668.68,0,0,0,0,0
20180502_0820_02,53165.44,0,0,132.78,535.81,668.59,0,0,0,0,0
20180502_0820_03,53231.9,0,0,132.78,535.81,668.59,0,0,0,0,0
20180502_0820_03,53298.44,0,0,132.78,535.86,668.64,0,0,0,0,0
20180502_0820_03,53365.06,0,0,132.7,535.86,668.56,0,0,0,0,0
20180502_0820_03,53431.77,0,0,132.7,535.86,668.56,0,0,0,0,0
20180502_0820_03,53498.56,0,0,132.7,535.91,668.61,0,0,0,0,0
20180502_0820_03,53565.43,0,0,132.16,535.91,668.07,0,0,0,0,0
20180502_0820_03,53632.39,0,0,132.16,535.91,668.07,0,0,0,0,0
20180502_0820_03,53699.43,0,0,132.16,535.97,668.13,0,0,0,0,0
20180502_0820_03,53766.55,0,0,132.15,535.97,668.12,0,0,0,0,0
20180502_0820_03,53833.76,0,0,132.15,535.97,668.12,0,0,0,0,0
20180502_0820_03,53901.05,0,0,132.15,535.99,668.14,0,0,0,0,0
20180502_0820_03,53968.43,0,0,132.08,535.99,668.07,0,0,0,0,0
20180502_0820_03,54035.89,0,0,132.08,535.99,668.07,0,0,0,0,0
20180502_0820_03,54103.43,0,0,132.08,536.07,668.15,0,0,0,0,0
20180502_0820_04,54171.06,0,0,131.67,536.07,667.74,0,0,0,0,0
20180502_0820_04,54238.77,0,0,131.67,536.07,667.74,0,0,0,0,0
20180502_0820_04,54306.57,0,0,131.67,536.08,667.75,0,0,0,0,0
20180502_0820_04,54374.45,0,0,131.54,536.08,667.62,0,0,0,0,0
20180502_0820_04,54442.42,0,0,131.54,536.08,667.62,0,0,0,0,0
20180502_0820_04,54510.47,0,0,131.54,536.13,667.67,0,0,0,0,0
20180502_0820_04,54578.61,0,0,131.54,536.13,667.67,0,0,0,0,0
20180502_0820_04,54646.83,0,0,131.54,536.13,667.67,0,0,0,0,0
20180502_0820_04,54715.14,0,0,131.54,536.1,667.64,0,0,0,0,0
20180502_0820_04,54783.53,0,0,131.54,536.1,667.64,0,0,0,0,0
20180502_0820_04,54852.01,0,0,131.54,536.1,667.64,0,0,0,0,0
20180502_0820_04,54920.58,0,0,131.54,536.11,667.65,0,0,0,0,0
20180502_0820_04,54989.23,0,0,131.34,536.11,667.45,0,0,0,0,0
20180502_0820_05,55057.97,0,0,131.34,536.13,667.47,0,0,0,0,0
20180502_0820_05,55126.79,0,0,130.92,536.13,667.05,0,0,0,0,0
20180502_0820_05,55195.7,0,0,130.92,536.13,667.05,0,0,0,0,0
20180502_0820_05,55264.69,0,0,130.92,536.13,667.05,0,0,0,0,0
20180502_0820_05,55333.77,0,0,130.92,536.09,667.01,0,0,0,0,0
20180502_0820_05,55402.94,0,0,130.9,536.09,666.99,0,0,0,0,0
20180502_0820_05,55472.19,0,0,130.9,536.09,666.99,0,0,0,0,0
20180502_0820_05,55541.53,0,0,130.9,536.17,667.07,0,0,0,0,0
20180502_0820_05,55610.96,0,0,130.83,536.17,667,0,0,0,0,0
20180502_0820_05,55680.47,0,0,130.83,536.17,667,0,0,0,0,0
20180502_0820_05,55750.07,0,0,130.83,536.09,666.92,0,0,0,0,0
20180502_0820_05,55819.76,0,0,130.46,536.09,666.55,0,0,0,0,0
20180502_0820_05,55889.53,0,0,130.46,536.09,666.55,0,0,0,0,0
20180502_0820_05,55959.39,0,0,130.46,536.1,666.56,0,0,0,0,0
20180502_0820_06,56029.34,0,0,130.29,536.1,666.39,0,0,0,0,0
20180502_0820_06,56099.38,0,0,130.29,536.1,666.39,0,0,0,0,0
20180502_0820_06,56169.5,0,0,130.29,536.1,666.39,0,0,0,0,0
20180502_0820_06,56239.71,0,0,130.28,536.1,666.38,0,0,0,0,0
20180502_0820_06,56310.01,0,0,130.28,536.1,666.38,0,0,0,0,0
20180502_0820_06,56380.4,0,0,130.28,536.07,666.35,0,0,0,0,0
20180502_0820_06,56450.88,0,0,130.21,536.07,666.28,0,0,0,0,0
20180502_0820_06,56521.44,0,0,130.21,536.09,666.3,0,0,0,0,0
20180502_0820_06,56592.09,0,0,130.21,536.09,666.3,0,0,0,0,0
20180502_0820_06,56662.83,0,0,129.69,536.09,665.78,0,0,0,0,0
20180502_0820_06,56733.66,0,0,129.69,536.09,665.78,0,0,0,0,0
20180502_0820_06,56804.58,0,0,129.69,536.12,665.81,0,0,0,0,0
20180502_0820_06,56875.59,0,0,129.66,536.12,665.78,0,0,0,0,0
20180502_0820_07,56946.68,0,0,129.66,536.12,665.78,0,0,0,0,0
20180502_0820_07,57017.86,0,0,129.66,536.12,665.78,0,0,0,0,0
20180502_0820_07,57089.13,0,0,129.66,536.12,665.78,0,0,0,0,0
20180502_0820_07,57160.49,0,0,129.66,536.12,665.78,0,0,0,0,0
20180502_0820_07,57231.94,0,0,129.66,536.15,665.81,0,0,0,0,0
20180502_0820_07,57303.48,0,0,129.66,536.15,665.81,0,0,0,0,0
20180502_0820_07,57375.11,0,0,129.66,536.15,665.81,0,0,0,0,0
20180502_0820_07,57446.83,0,0,129.66,536.12,665.78,0,0,0,0,0
20180502_0820_07,57518.64,0,0,129.08,536.12,665.2,0,0,0,0,0
20180502_0820_07,57590.54,0,0,129.08,536.12,665.2,0,0,0,0,0
20180502_0820_07,57662.53,0,0,129.08,536.12,665.2,0,0,0,0,0
20180502_0820_07,57734.61,0,0,128.9,536.12,665.02,0,0,0,0,0
20180502_0820_07,57806.78,0,0,128.9,536.12,665.02,0,0,0,0,0
20180502_0820_07,57879.04,0,0,128.9,536.09,664.99,0,0,0,0,0
20180502_0820_08,57951.39,0,0,128.42,536.09,664.51,0,0,0,0,0
20180502_0820_08,58023.83,0,0,128.42,536.09,664.51,0,0,0,0,0
20180502_0820_08,58096.36,0,0,128.42,536.13,664.55,0,0,0,0,0
20180502_0820_08,58168.98,0,0,128.42,536.13,664.55,0,0,0,0,0
20180502_0820_08,58241.69,0,0,128.42,536.13,664.55,0,0,0,0,0
20180502_0820_08,58314.49,0,0,128.42,536.1,664.52,0,0,0,0,0
20180502_0820_08,58387.38,0,0,128.34,536.1,664.44,0,0,0,0,0
20180502_0820_08,58460.36,0,0,128.34,536.1,664.44,0,0,0,0,0
20180502_0820_08,58533.44,0,0,128.34,536.12,664.46,0,0,0,0,0
20180502_0820_08,58606.61,0,0,127.8,536.12,663.92,0,0,0,0,0
20180502_0820_08,58679.87,0,0,127.8,536.12,663.92,0,0,0,0,0
20180502_0820_08,58753.22,0,0,127.8,536.1,663.9,0,0,0,0,0
20180502_0820_08,58826.66,0,0,127.76,536.1,663.86,0,0,0,0,0
20180502_0820_09,58900.19,0,0,127.76,536.1,663.86,0,0,0,0,0
20180502_0820_09,58973.82,0,0,127.76,536.09,663.85,0,0,0,0,0
20180502_0820_09,59047.54,0,0,127.22,536.09,663.31,0,0,0,0,0
20180502_0820_09,59121.35,0,0,127.22,536.09,663.31,0,0,0,0,0
20180502_0820_09,59195.25,0,0,127.22,536.09,663.31,0,0,0,0,0
20180502_0820_09,59269.24,0,0,127.16,536.09,663.25,0,0,0,0,0
20180502_0820_09,59343.33,0,0,127.16,536.09,663.25,0,0,0,0,0
20180502_0820_09,59417.51,0,0,127.16,536.09,663.25,0,0,0,0,0
20180502_0820_09,59491.78,0,0,127.17,536.12,663.29,0,0,0,0,0
20180502_0820_09,59566.14,0,0,127.17,536.12,663.29,0,0,0,0,0
20180502_0820_09,59640.6,0,0,127.17,536.13,663.3,0,0,0,0,0
20180502_0820_09,59715.15,0,0,127.17,536.13,663.3,0,0,0,0,0
20180502_0820_09,59789.79,0,0,127.17,536.13,663.3,0,0,0,0,0
20180502_0820_09,59864.53,0,0,127.17,536.11,663.28,0,0,0,0,0
20180502_0820_10,59939.36,0,0,127.04,536.11,663.15,0,0,0,0,0
20180502_0820_10,60014.28,0,0,127.04,536.11,663.15,0,0,0,0,0
20180502_0820_10,60089.3,0,0,127.04,536.12,663.16,0,0,0,0,0
20180502_0820_10,60164.41,0,0,127.04,536.12,663.16,0,0,0,0,0
20180502_0820_10,60239.62,0,0,126.56,536.12,662.68,0,0,0,0,0
20180502_0820_10,60314.92,0,0,126.56,536.09,662.65,0,0,0,0,0
20180502_0820_10,60390.31,0,0,126.56,536.09,662.65,0,0,0,0,0
20180502_0820_10,60465.8,0,0,126.54,536.09,662.63,0,0,0,0,0
20180502_0820_10,60541.38,0,0,126.54,536.11,662.65,0,0,0,0,0
20180502_0820_10,60617.06,0,0,126.54,536.11,662.65,0,0,0,0,0
20180502_0820_10,60692.83,0,0,126.45,536.11,662.56,0,0,0,0,0
20180502_0820_10,60768.7,0,0,126.45,536.11,662.56,0,0,0,0,0
20180502_0820_10,60844.66,0,0,126.45,536.12,662.57,0,0,0,0,0
20180502_0820_10,60920.72,0,0,126.01,536.12,662.13,0,0,0,0,0
20180502_0820_11,60996.87,0,0,126.01,536.12,662.13,0,0,0,0,0
20180502_0820_11,61073.12,0,0,126.01,536.14,662.15,0,0,0,0,0
20180502_0820_11,61149.46,0,0,125.93,536.14,662.07,0,0,0,0,0
20180502_0820_11,61225.9,0,0,125.93,536.14,662.07,0,0,0,0,0
20180502_0820_11,61302.43,0,0,125.93,536.16,662.09,0,0,0,0,0
20180502_0820_11,61379.06,0,0,125.92,536.16,662.08,0,0,0,0,0
20180502_0820_11,61455.78,0,0,125.92,536.16,662.08,0,0,0,0,0
20180502_0820_11,61532.6,0,0,125.92,536.13,662.05,0,0,0,0,0
20180502_0820_11,61609.52,0,0,125.68,536.13,661.81,0,0,0,0,0
20180502_0820_11,61686.53,0,0,125.68,536.13,661.81,0,0,0,0,0
20180502_0820_11,61763.64,0,0,125.68,536.16,661.84,0,0,0,0,0
20180502_0820_11,61840.84,0,0,125.31,536.16,661.47,0,0,0,0,0
20180502_0820_11,61918.14,0,0,125.31,536.16,661.47,0,0,0,0,0
20180502_0820_12,61995.54,0,0,125.31,536.19,661.5,0,0,0,0,0
20180502_0820_12,62073.03,0,0,125.29,536.19,661.48,0,0,0,0,0
20180502_0820_12,62150.62,0,0,125.29,536.19,661.48,0,0,0,0,0
20180502_0820_12,62228.31,0,0,125.29,536.24,661.53,0,0,0,0,0
20180502_0820_12,62306.1,0,0,125.3,536.24,661.54,0,0,0,0,0
20180502_0820_12,62383.98,0,0,125.3,536.24,661.54,0,0,0,0,0
20180502_0820_12,62461.96,0,0,125.3,536.35,661.65,0,0,0,0,0
20180502_0820_12,62540.04,0,0,125.29,536.35,661.64,0,0,0,0,0
20180502_0820_12,62618.22,0,0,125.29,536.35,661.64,0,0,0,0,0
20180502_0820_12,62696.49,0,0,124.82,536.44,661.26,0,0,0,0,0
20180502_0820_12,62774.86,0,0,124.82,536.44,661.26,0,0,0,0,0
20180502_0820_12,62853.33,0,0,124.82,536.44,661.26,0,0,0,0,0
20180502_0820_12,62931.9,0,0,124.82,536.42,661.24,0,0,0,0,0
20180502_0820_12,63010.56,0,0,124.68,536.42,661.1,0,0,0,0,0
20180502_0820_13,63089.32,0,0,124.68,536.42,661.1,0,0,0,0,0
20180502_0820_13,63168.18,0,0,124.68,536.54,661.22,0,0,0,0,0
20180502_0820_13,63247.14,0,0,124.6,536.54,661.14,0,0,0,0,0
20180502_0820_13,63326.2,0,0,124.6,536.54,661.14,0,0,0,0,0
